model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_strategy,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,param_max_depth,param_max_features,param_min_samples_split,param_n_estimators,param_learning_rate,param_reg_lambda,param_subsample,param_depth,param_iterations,param_l2_leaf_reg
RandomForestClassifier,0.05684828758239746,0.00895850956189023,0.005808432896931966,0.0016923333586449868,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 50}",0.5337496283080583,0.5800712993695449,0.6703111858704794,0.5947107045160275,0.05670390279484452,6,0.9976434872781377,0.9976434872781377,0.9976283174061537,0.9976384306541429,7.151146233089229e-06,,sqrt,2.0,50.0,,,,,,
RandomForestClassifier,0.12024259567260742,0.008551406803273763,0.016482035319010418,0.0005790831572513031,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.5463546354635463,0.6102272727272727,0.6503239922578473,0.6023019668162221,0.04281366326608804,3,1.0,1.0,1.0,1.0,0.0,,sqrt,2.0,100.0,,,,,,
RandomForestClassifier,0.0703123410542806,0.00608452199819893,0.0035637219746907554,0.00022514713050305804,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 50}",0.5374191092500952,0.6102272727272727,0.657382212767361,0.6016761982482429,0.04934657845236414,4,0.7489593339737433,0.7720267519627799,0.7548079461591263,0.7585980106985498,0.009791148556391122,,sqrt,10.0,50.0,,,,,,
RandomForestClassifier,0.12087670962015788,0.016329837345957263,0.008666912714640299,0.0007220436329172126,,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.5106117353308365,0.6128916419786337,0.657382212767361,0.5936285300256104,0.06144750536472775,7,0.7484393213840386,0.7741926574737132,0.7571984185399245,0.7599434657992253,0.010691430938802706,,sqrt,10.0,100.0,,,,,,
XGBClassifier,0.014475822448730469,0.0013616866469121625,0.003517627716064453,0.00042035546257796635,,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 0.8}",0.4563106796116505,0.4563106796116505,0.45555555555555555,0.45605897159295217,0.00035596889380122375,25,0.45593337959750174,0.45593337959750174,0.4563106796116505,0.4560591462688846,0.0001778609323642469,3,,,50.0,0.01,1.0,0.8,,,
XGBClassifier,0.016741275787353516,0.0030764655131525986,0.00323335329691569,4.01706809313892e-05,,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'reg_lambda': 1, 'subsample': 1.0}",0.4563106796116505,0.4563106796116505,0.45555555555555555,0.45605897159295217,0.00035596889380122375,25,0.45593337959750174,0.45593337959750174,0.4563106796116505,0.4560591462688846,0.0001778609323642469,3,,,50.0,0.01,1.0,1.0,,,
XGBClassifier,0.016538143157958984,0.0019902473826859685,0.0036232471466064453,0.00043460788217271443,,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 0.8}",0.4563106796116505,0.4563106796116505,0.45555555555555555,0.45605897159295217,0.00035596889380122375,25,0.45593337959750174,0.45593337959750174,0.4563106796116505,0.4560591462688846,0.0001778609323642469,3,,,50.0,0.01,2.0,0.8,,,
XGBClassifier,0.014641920725504557,0.0005286277875440222,0.0031767686208089194,0.00023920480579970246,,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50, 'reg_lambda': 2, 'subsample': 1.0}",0.4563106796116505,0.4563106796116505,0.45555555555555555,0.45605897159295217,0.00035596889380122375,25,0.45593337959750174,0.45593337959750174,0.4563106796116505,0.4560591462688846,0.0001778609323642469,3,,,50.0,0.01,2.0,1.0,,,
XGBClassifier,0.020745038986206055,0.0022728059116777807,0.004530986150105794,0.000812107166117521,,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 0.8}",0.4563106796116505,0.4871275428378492,0.4871275428378492,0.47685525509578297,0.014527208641428964,21,0.551904257804152,0.48773685636424485,0.4805178014448018,0.5067196385377328,0.032085989176699574,3,,,100.0,0.01,1.0,0.8,,,
XGBClassifier,0.019782066345214844,0.0022968014271026733,0.0030908584594726562,4.586940489818838e-05,,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_lambda': 1, 'subsample': 1.0}",0.47256944444444443,0.5169240880709826,0.5586195997866582,0.5160377107673617,0.03513541951884699,18,0.570639978675455,0.4953996792436904,0.49606633837458236,0.5207019987645759,0.035312533061069816,3,,,100.0,0.01,1.0,1.0,,,
